"ppn","school","class","nom_like","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","group","cond_name","X1_SELF_2easy40","X1_SELF_6easy40","X1_SELF_10easy40","X1_SELF_2hard90","X1_SELF_6hard90","X1_SELF_10hard90","X1_CLIMATE_2easy40","X1_CLIMATE_6easy40","X1_CLIMATE_10easy40","X1_CLIMATE_2hard90","X1_CLIMATE_6hard90","X1_CLIMATE_10hard90","X1_OTHERS_2easy40","X1_OTHERS_6easy40","X1_OTHERS_10easy40","X1_OTHERS_2hard90","X1_OTHERS_6hard90","X1_OTHERS_10hard90","X2_SELF_2easy40","X2_SELF_6easy40","X2_SELF_10easy40","X2_SELF_2hard90","X2_SELF_6hard90","X2_SELF_10hard90","X2_CLIMATE_2easy40","X2_CLIMATE_6easy40","X2_CLIMATE_10easy40","X2_CLIMATE_2hard90","X2_CLIMATE_6hard90","X2_CLIMATE_10hard90","X2_OTHERS_2easy40","X2_OTHERS_6easy40","X2_OTHERS_10easy40","X2_OTHERS_2hard90","X2_OTHERS_6hard90","X2_OTHERS_10hard90","SUS_social_anxiety","SUS_peers_self_esteem","SUS_total","SUS_total_c"
"2","1","6","4,9,10,28",2,2,1,1,2,3,2,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.75,1.75,1.75,-0.798259493670886
"3","1","6",NA,3,2,1,1,2,1,1,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.75,1.25,1.5,-1.04825949367089
"4","1","6","2,8,10,24,26",2,3,2,4,2,2,1,1,"high_norm","pos_social_norm",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.75,2.5,2.125,-0.423259493670886
"5","1","6","1,13,16,21,29",2,3,2,3,1,3,1,1,"control","control",1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2.5,2,-0.548259493670886
"6","1","6","7,11,14,16",1,4,1,5,1,3,1,1,"low_norm","neg_social_norm",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.25,2.125,-0.423259493670886
"7","1","6","6,21,25",1,3,1,4,2,2,1,1,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.25,2.5,1.875,-0.673259493670886
"9","1","6","2",4,4,4,4,4,4,4,2,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3.5,3.75,1.20174050632911
"13","1","6","6",2,2,1,2,2,2,3,1,"control","control",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.75,1.875,-0.673259493670886
"14","1","6","5",4,4,4,4,4,4,3,3,"low_norm","neg_social_norm",1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.75,3.75,3.75,1.20174050632911
"15","1","6","22",2,1,1,3,2,2,1,1,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1.5,1.75,1.625,-0.923259493670886
"16","1","6","1,6,7,13,14",3,3,3,3,3,3,3,3,"high_norm","pos_social_norm",1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,3,3,3,0.451740506329114
"18","1","6","2,18,28",2,2,2,3,2,3,2,4,"high_norm","pos_social_norm",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2.5,-0.0482594936708862
"20","1","6",NA,4,3,3,3,3,2,3,2,"low_norm","neg_social_norm",1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.25,2.5,2.875,0.326740506329114
