"ppn","school","class","nom_like","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","group","cond_name","1_SELF_2easy40","1_SELF_6easy40","1_SELF_10easy40","1_SELF_2hard90","1_SELF_6hard90","1_SELF_10hard90","1_CLIMATE_2easy40","1_CLIMATE_6easy40","1_CLIMATE_10easy40","1_CLIMATE_2hard90","1_CLIMATE_6hard90","1_CLIMATE_10hard90","1_OTHERS_2easy40","1_OTHERS_6easy40","1_OTHERS_10easy40","1_OTHERS_2hard90","1_OTHERS_6hard90","1_OTHERS_10hard90","2_SELF_2easy40","2_SELF_6easy40","2_SELF_10easy40","2_SELF_2hard90","2_SELF_6hard90","2_SELF_10hard90","2_CLIMATE_2easy40","2_CLIMATE_6easy40","2_CLIMATE_10easy40","2_CLIMATE_2hard90","2_CLIMATE_6hard90","2_CLIMATE_10hard90","2_OTHERS_2easy40","2_OTHERS_6easy40","2_OTHERS_10easy40","2_OTHERS_2hard90","2_OTHERS_6hard90","2_OTHERS_10hard90"
2,1,6,"4,9,10,28",2,2,1,1,2,3,2,1,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,6,NA,3,2,1,1,2,1,1,1,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,6,"2,8,10,24,26",2,3,2,4,2,2,1,1,1,"pos_social_norm",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,6,"1,13,16,21,29",2,3,2,3,1,3,1,1,3,"control",1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,6,"7,11,14,16",1,4,1,5,1,3,1,1,2,"neg_social_norm",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,6,"6,21,25",1,3,1,4,2,2,1,1,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
9,1,6,"2",4,4,4,4,4,4,4,2,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,6,"6",2,2,1,2,2,2,3,1,3,"control",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,6,"5",4,4,4,4,4,4,3,3,2,"neg_social_norm",1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,6,"22",2,1,1,3,2,2,1,1,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1
16,1,6,"1,6,7,13,14",3,3,3,3,3,3,3,3,1,"pos_social_norm",1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1
18,1,6,"2,18,28",2,2,2,3,2,3,2,4,1,"pos_social_norm",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1,6,NA,4,3,3,3,3,2,3,2,2,"neg_social_norm",1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,6,"1,5,6,7,16",2,2,4,3,4,3,3,3,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,6,"21",2,2,2,4,3,4,3,4,3,"control",1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
26,1,6,"4,10",2,2,3,3,4,4,4,3,3,"control",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1
28,1,6,"2,9,10,15,20",2,3,2,1,1,2,3,2,3,"control",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,1,6,"5,6,7,11,16",4,3,5,3,5,4,5,5,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1,7,"48,49,50,51,53",1,3,3,5,4,3,4,3,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,1,1
32,1,7,"38",1,1,1,1,1,1,1,1,2,"neg_social_norm",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,1,7,"52",1,3,2,5,1,1,3,1,3,"control",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1
34,1,7,"30,47,51,52,54",2,1,1,2,2,2,2,1,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1,7,"40,53",3,4,3,3,3,2,3,3,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,7,"37,38,47,52",1,3,1,3,2,1,4,4,1,"pos_social_norm",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,1,7,"35,45,53",1,5,4,4,3,3,3,4,1,"pos_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1
48,1,7,"30,34,47",3,3,4,3,4,4,3,4,2,"neg_social_norm",1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,1,7,"30,32,33",3,3,3,4,4,1,1,3,3,"control",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
